home_team,home_goals_sum,away_team,away_goals_sum
Newcastle,4.012036209526298,Liverpool,1.9886267156536293
Tottenham,5.780379036567489,Swansea,3.9599692920127945
Blackburn,2.649975926326103,Man United,7.371927469134555
Swansea,1.3340739063919196,Newcastle,4.806246382789513
Bolton,2.525086160150243,Fulham,3.405394031943236
Chelsea,3.711593578386193,Wigan,3.4112861565358243
Liverpool,3.155143499596174,Aston Villa,1.9494417013384928
Norwich,4.250003584818229,Everton,3.7291802292750207
Stoke,3.697223314881257,Wolves,2.5172809621563568
Sunderland,3.128558839489027,Tottenham,0.8104303118052006
West Brom,5.132762141486934,Blackburn,1.8066143608869112
Arsenal,5.8526965899307495,Man City,1.005045473570816
Man United,4.6696548798424935,QPR,1.762011381999523
Aston Villa,2.996314518208626,Stoke,1.595932730502979
Everton,5.910371489401867,Sunderland,2.314989823404558
Fulham,4.03771674109832,Chelsea,3.9997423400239467
Newcastle,4.433422968954959,Bolton,2.00094607713196
Tottenham,4.505977110438356,Norwich,3.2403482403003867
Blackburn,3.607291646817168,Liverpool,4.206163073767563
Man City,8.024106226100063,West Brom,1.3189707791932432
QPR,5.857910231226513,Swansea,2.40184278712629
Wigan,2.720449406023291,Man United,4.471300031207866
Wolves,1.558776474251315,Arsenal,4.910608131176215
Norwich,3.577757478080857,Man City,6.609590894126103
Sunderland,1.8975668568650705,Wolves,1.5268080826587478
Swansea,3.809156726549301,Blackburn,1.095767000155056
West Brom,4.113177607824099,QPR,1.0687139259453395
Man United,6.8322888549011855,Aston Villa,1.1823961611841545
Arsenal,4.549839923788578,Wigan,4.069049642992248
Arsenal,2.7596174105623636,Chelsea,2.4259663601752766
Aston Villa,1.8173566214356194,Sunderland,1.4041123048175994
Blackburn,4.1879329823198885,Norwich,1.9653705558880643
Bolton,2.531542174547167,Swansea,2.456791290201739
Fulham,4.448998998711108,Wigan,3.4680033643675436
Newcastle,5.689006958145393,Stoke,0.9679821318889562
QPR,4.553002157083202,Tottenham,0.49155083167032354
Liverpool,1.9136912682980944,West Brom,1.799996216845764
Man United,8.143992666510488,Everton,6.261862144649488
Wolves,0.9454457232721829,Man City,6.00891952544492
Aston Villa,2.1022825105324685,Bolton,3.2136351442122537
Everton,7.584821518613654,Fulham,2.0654758887759956
Norwich,2.17001960347219,Liverpool,5.551166863991158
Stoke,3.2424792962798583,Arsenal,3.9784343893925316
Sunderland,3.1509324775431997,Bolton,3.9491682440947624
Swansea,6.310370342302763,Wolves,4.926055913629591
West Brom,2.494768327988782,Aston Villa,0.7171595236847105
Wigan,5.650035972950148,Newcastle,2.9151357892947813
Chelsea,8.251195301683751,QPR,1.6482077625477052
Tottenham,4.733013269444202,Blackburn,0.6646162814953793
Man City,5.8668664429207205,Man United,2.7119805577016254
Liverpool,1.1607124274471494,Fulham,2.2527744534398426
Stoke,2.966663106677178,Everton,4.798011377623819
Bolton,2.5354579452184476,Tottenham,4.298140650215295
Chelsea,5.004602929748027,Newcastle,3.768119233432872
Arsenal,4.67379256858286,Norwich,4.192057499842573
Aston Villa,2.2750987980155895,Tottenham,3.60695408411277
Bolton,3.537832980186983,West Brom,3.0917528928837053
Fulham,4.698454297749094,Sunderland,1.8516371625516448
Man United,6.939581244713455,Swansea,1.4901192420223126
Newcastle,3.4505571434336875,Man City,5.644593923928232
QPR,3.7615354020087173,Stoke,0.58711084104465
Wolves,0.573441818258765,Everton,2.910141006178896
